Genre,Title,Income instance IDs,Foreign binary,US Legislative binary
NEWS,Letters,[733 734],False,True
NEWS,"DEMOCRAT WINS IN BIG LANDSLIDE; James S. Havens Elected to Congress in New York State on the Issue of Tariff Reform. CHANGE OF 11,000 VOTES. Thirty-se",[740],False,False
NF/ACAD,Anticipations of the Reaction of Mechanical and Scientific Progress Upon Human Life and Thought,[534 535],False,False
NF/ACAD,History of English Literature,[636],True,False
NEWS,NYTimes TOPICS OF,[860],False,False
NEWS,RAILWAY CAPITAL PROBLEMS,[553],False,False
NEWS,CHURCHES' UNEARNED INCREMENT,[741],False,False
NEWS,Letters,[735],False,False
NEWS,CULBERSON GIVES UP SENATE LEADERSHIP; Poor Health His Reason for Resigning as Chairman of the Democratic Caucus. MONEY MAY SUCCEED HIM But Aged Senato,[592],False,True
NEWS,THE FOURTH AVENUE SUBWAY,[591],False,False
NEWS,AN ENGLISH GIRL'S LIFE,[589],False,False
NEWS,THE CITY'S IMPROVIDENCE,[584],False,False
NEWS,THE GERMAN PIPER,[583],True,False
NEWS,"GIVES 'HAPPY MARRIAGE' KEY; Shun Man Who Has Sown Wild Oats, Says Pastor Vaughan",[590],False,False
NEWS,"DENVER PLATFORM OUTLINED BY BRYAN; Brief Enough, if Possible, for Circulation by Post Card -- Follows Nebraska Platform. NO RAILROAD OWNERSHIP Strict ",[947],False,True
NEWS,A BLOW TO BRYANISM,[946],False,False
NEWS,"MAE WOOD TESTIFIES TO PLATT 'MARRIAGE'; Describes in Court a Brief Ceremony Performed in Secret, She Says, at His Request. LETTERS READ IN COURT Decla",[577],False,False
NEWS,"ADMITS SWINDLING BANKS OH LOANS; Adolph Rothbarth's False Statements Caught Mercantile National and Liberty National. THEFTS FOOT UP $128,000 Prisoner",[742],False,False
NEWS,"MRS. TRASK DONATES RAILROAD DAMAGES; Gives Away to Church and Saratoga $32,000 Paid for Her Husband's Death",[745],False,False
NEWS,IN AND OUT OF WALL STREET,[824],False,False
NEWS,"BOOK OF FADS $9,000 TO ONE OF SMART SET; Net Profit $90,000, Says Treasurer of Town Topics Project. JEROME LOOKS UP ACCOUNTS Ahle, ",[545],False,False
NEWS,Letters,[972],False,False
NEWS,CANADA'S PROSPERITY,[850],False,False
NEWS,LORD PAUNCEFOTE BACK WITH CANAL TREATY; It Is Said to Abrogate Clayton-Bulwer Convention. England Gives Full Consent to Exclusive-Control of Nicaragua,[532],False,False
NEWS,TOPICS OF,[825],False,False
NEWS,DR. MACARTHUR QUITS 40-YEAR PASTORATE; Will Remain in Ministry and May Establish a Baptist College in Russia,[823],False,False
NEWS,SISTER GETS PAPERS TO AID MISS GRAHAM; Mrs. Singleton Starts from Paris After Consulting a Lawyer About Stokes Shooting,[821],False,False
NEWS,"M'ANENY REPORT FOR B.R.T. OFFER; Miller in a Lone Minority Since Interborough Proposal, He Thinks, Favors Bronx",[779],False,False
NEWS,"BANKS INVOLVED BY PETTIT'S DEATH; Chicago Grain Speculator Owed Five of Them $750,000, Largely Unsecured",[822],False,False
NEWS,Letters,[552],False,False
NEWS,"HAYWOOD'S LETTER TO SHIELD ORCHARD; As Steunenberg Was Killed, Murderer's Wife Was Told He Was in Alaska. PETTIBONE NOTE IN, TOO Court Admits a Copy M",[551],False,False
NEWS,INCOMPETENT TAX GATHERERS,[859],False,False
NEWS,Front Page 1 -- No Title,[413],False,False
NEWS,BILL TO AUTHORIZE STATE BANK NOTES; Senator Platt of New York Introduces,[412],False,True
NEWS,A GLANCE AT THE FUTURE,[410],False,False
NEWS,"BOY MILLIONAIRE WEDS; James R. Roosevelt, Jr.'s, Step Without His Father's Consent. Ceremony Was Performed by an Alderman at ",[403 404],False,False
NEWS,BRITISH SHIPS AT BAR HARBOR.; American Squadron Exchanges Courtesies -- Resident Hoists Boer Flag; Authorities Remove It,[402],False,False
NEWS,MRS. HETTY GREEN'S DAUGHTER MAY WED; Said to be Engaged to Duke De La Torre of Spain. HIS FAMILY IS ILLUSTRIOUS Talk that Marriage Will Take Place in,[401],False,False
NEWS,BLAIR GRANDCHILDREN DEFEATED IN COURT; Will Lose Large Part of Fortune Left by Millionaire Banker. Securities Left to Them in Will Were Disposed Of Be,[433],False,False
NEWS,GIFTS TO HIGH AND LOW ON PENNSYLVANIA ROAD; Coal Shares Went to ,[468 469],False,False
NEWS,"ART MUSEUM RECEIVES MORE FINE PAINTINGS; New Gifts or Loans from G.A. Hearn and J.P. Morgan. TWO FRANS HALS PICTURES Some Other Notable Canvases, Bron",[475],False,False
NEWS,SHIELDING THE PRESIDENT,[472],False,True
NEWS,EDITOR OF PUNCH RESIGNS.; Sir Francis Burnand Has Been with,[466],False,False
NEWS,JOHN A. M'CALL DIES AFTER SHORT ILLNESS; He Was Unconscious for Twelve Hours Before ,[467],False,False
NEWS,LABOR OPPOSES RATE-FIXING,[452 453],False,True
NEWS,"KILL FRICK REPORT IN BITTER FIGHT; Harriman, Frick, and Bliss Resign from Equitable. LEFT MEETING IN RAGE Hyde Accused First Two, Ingalls and Schiff. ",[448],False,False
NEWS,"BONDAGE HIS REFUGE; Union Business Agent Wants Ten Years of Peonage. FEARS POVERTY IN OLD AGE. T. P. Quinn, Orator and Theorist, Says There Is 'Nothin",[440],False,False
NEWS,"Cercle Francais at Princeton.; ESTATE OF LOUIS T. HOYT. Stock Exchange Member Left $3,640,546, Most of Which Goes to His Widow. Conrad N. Jordan Left ",[427],False,False
MAG,The Example of the Malay States,[136],True,False
MAG,The Outlook for Reform in Russia,[154],True,False
MAG,Oliver Ellsworth and federation,[338],False,False
MAG,The German way of making better cities,[390],True,False
MAG,Japan's Policy in Korea,[257],True,False
MAG,English Idiosyncrasies,"[925, 926]",True,False
MAG,British Farmers and the Fiscal Question,[388],True,False
MAG,Madero of Mexico,[753],True,False
